State (Emission order)	-2000	-1800	-1600	-1400	-1200	-1000	-800	-600	-400	-200	0	200	400	600	800	1000	1200	1400	1600	1800	2000
1	1.21535	1.21394	1.21747	1.21606	1.20969	1.21323	1.20050	1.21535	1.23728	1.23516	1.22384	1.21677	1.21394	1.19696	1.19484	1.19342	1.20474	1.21040	1.21535	1.20262	1.19979
2	0.64705	0.64771	0.64804	0.64909	0.65117	0.65255	0.65431	0.65563	0.65843	0.66270	0.66826	0.67338	0.67969	0.68652	0.69198	0.69710	0.69995	0.70451	0.70811	0.71091	0.71480
3	4.07052	4.06204	4.07476	4.07688	4.05356	4.04720	4.02070	3.96770	3.89349	3.79915	3.68361	3.53626	3.40270	3.27974	3.11013	2.97445	2.85572	2.69460	2.59178	2.45291	2.35857
4	1.79145	1.80328	1.81511	1.82172	1.83216	1.82624	1.82590	1.83216	1.84468	1.85895	1.88922	1.92784	1.96054	1.98524	2.01169	2.03500	2.04230	2.04891	2.06213	2.08371	2.09449
5	3.75420	3.72896	3.65325	3.62170	3.60908	3.57122	3.57753	3.48920	3.47658	3.31884	3.21788	3.16110	3.11693	2.87717	2.74467	2.59955	2.44812	2.39764	2.33454	2.38502	2.26514
6	0.95464	0.96401	0.94410	0.89959	0.88788	0.86914	0.85157	0.82814	0.78480	0.77191	0.73677	0.73443	0.74263	0.74849	0.73795	0.73326	0.74380	0.76957	0.77660	0.80823	0.80705
7	1.66576	1.54363	1.59737	1.57783	1.54852	1.55340	1.57294	1.60714	1.65110	1.48501	1.51432	1.49967	1.33847	1.27496	1.24565	1.27008	1.22611	1.17238	1.16261	1.23588	1.21146
8	3.29492	3.14007	3.07985	3.17448	3.19169	3.23470	3.05404	3.01103	3.11426	3.13147	2.88198	2.74434	2.53787	2.27978	2.27978	2.40022	2.44323	2.48625	2.49485	2.40022	2.29698
9	1.28223	1.24560	1.26758	1.28956	1.28223	1.31154	1.39946	1.53868	1.67057	1.91968	1.86840	1.74384	1.50204	1.50204	1.47274	1.44343	1.55333	1.50204	1.47274	1.48739	1.43610
10	1.45571	1.29974	1.38422	1.42321	1.57268	1.57268	1.62467	1.64417	1.70266	1.55969	1.65717	1.62467	1.72865	1.59868	1.61168	1.68316	1.63767	1.80664	1.73515	1.72215	1.64417
11	1.17575	1.19174	1.17575	1.10376	1.12776	1.26373	1.34371	1.46369	1.48768	1.50368	1.43169	1.39170	1.30372	1.14375	1.27973	1.44769	1.47168	1.48768	1.33571	1.35971	1.51168
12	1.32053	1.36062	1.35354	1.42193	1.37713	1.41957	1.53748	1.56341	1.53983	1.63180	1.67189	1.67189	1.68839	1.68368	1.66010	1.54455	1.60822	1.64595	1.69783	1.61529	1.60114
13	3.47736	3.49475	3.37304	3.35565	3.31219	3.43389	3.23395	3.07747	2.88621	2.86882	2.67757	2.86882	2.59933	2.82536	2.81666	3.01661	2.96445	2.75581	2.77320	2.86013	2.87752
14	3.59051	3.70708	3.69543	3.56719	3.46228	3.47393	3.60217	3.64880	3.74206	3.69543	4.03349	3.69543	3.70708	3.49725	3.36902	3.07758	3.06592	3.05426	3.01929	3.20581	3.13587
15	5.75765	5.74540	5.39014	5.13288	4.90013	4.29986	3.93235	3.69960	3.16058	2.94008	2.53582	2.46231	2.59707	3.02583	3.20958	3.03808	3.07483	3.18508	3.11158	3.05033	3.38109
