State (Emission order)	-2000	-1800	-1600	-1400	-1200	-1000	-800	-600	-400	-200	0	200	400	600	800	1000	1200	1400	1600	1800	2000
1	0.69921	0.69094	0.67898	0.66105	0.63242	0.59404	0.54430	0.48899	0.43616	0.41496	0.40719	0.40372	0.40961	0.41956	0.43365	0.45376	0.47114	0.48440	0.49631	0.50580	0.51466
2	2.52637	2.53420	2.51673	2.50108	2.46795	2.38605	2.23308	2.00905	1.79947	1.71396	1.68385	1.68023	1.72118	1.82838	1.93437	2.03314	2.09999	2.14937	2.15479	2.13733	2.11324
3	4.57989	5.54957	7.10107	9.36864	13.34434	18.76711	24.59267	30.17954	33.49884	44.41897	53.01186	27.59123	24.71202	23.33208	22.35494	19.51302	15.64920	11.45719	8.31690	6.40737	5.00506
4	4.55245	5.21312	6.43124	8.12421	11.88179	18.62272	29.91610	48.33236	71.94110	74.53218	64.22981	67.02735	49.18917	34.97438	23.83585	14.77224	9.15652	6.33833	4.93440	3.72661	2.91109
5	5.34937	6.26932	7.81394	9.88100	13.27688	17.26335	22.54457	26.42882	26.50832	22.57864	28.65489	66.20267	85.43086	87.10040	72.19941	53.34602	37.44556	26.31525	18.58081	13.43588	9.73335
6	7.77398	8.77287	10.07577	11.46554	12.35151	12.08224	9.67622	6.64480	4.88154	3.86528	3.09222	3.42229	4.82074	11.58714	25.11995	36.09038	38.69619	36.09907	31.96453	28.11662	24.39032
7	1.94038	2.13577	2.32442	2.57370	2.90384	3.16660	3.97509	4.39281	4.06942	2.82973	2.10882	1.96733	1.69110	1.57656	1.65067	1.63046	1.47550	1.42160	1.38791	1.32728	1.23969
8	1.59600	1.64160	1.59600	1.55040	1.62450	1.86390	1.79550	1.67580	1.23120	1.03740	0.77520	0.67830	0.72960	0.71250	0.60990	0.62130	0.75810	0.76950	0.80370	0.76950	0.82650
9	1.79363	1.73865	1.71117	2.17160	2.54957	2.96190	2.92754	2.70763	2.29530	1.71804	1.16827	1.12016	0.91400	1.12703	1.66306	2.05477	2.21283	2.06852	1.79363	1.82112	1.58747
10	1.67456	1.75361	1.88882	2.04692	2.06980	2.04692	1.88674	1.61424	1.24396	1.06090	0.86952	0.78632	0.73431	0.74679	0.78632	0.89657	1.10251	1.31261	1.34589	1.30429	1.28140
11	3.56695	3.57132	3.48817	3.13804	2.53406	1.74627	1.26922	1.14667	0.95410	0.87532	0.90158	0.89283	0.97161	1.07665	1.38301	3.03300	5.87342	8.39873	9.72923	10.21503	10.23254
12	1.51968	1.42858	1.23737	1.04215	0.81990	0.67474	0.61768	0.56663	0.53059	0.50756	0.51257	0.51557	0.53659	0.57463	0.64872	0.86295	1.33848	1.98119	2.69397	3.29864	3.81321
13	1.01277	0.81697	0.74945	0.74270	0.66168	0.60091	0.56715	0.60766	0.66843	0.75620	0.86423	0.92500	0.92500	0.95201	0.93175	0.93175	0.99252	1.14106	1.41788	1.67445	2.06605
14	1.45268	1.42243	1.38156	1.31231	1.21967	1.08585	0.94111	0.74521	0.59081	0.53154	0.51313	0.49535	0.52187	0.56242	0.62761	0.72182	0.83786	0.95577	1.06401	1.16040	1.24119
15	0.45207	0.39810	0.37207	0.34412	0.32773	0.31520	0.30556	0.29785	0.30363	0.30845	0.30170	0.31520	0.32869	0.33544	0.34604	0.35472	0.36147	0.38267	0.42027	0.45882	0.51955
