State (Emission order)	Genome %	CpGIsland.hg19.bed.gz	RefSeqExon.hg19.bed.gz	RefSeqGene.hg19.bed.gz	RefSeqTES.hg19.bed.gz	RefSeqTSS.hg19.bed.gz	RefSeqTSS2kb.hg19.bed.gz	laminB1lads.hg19.bed.gz
1	4.91476	3.27799	1.12540	0.81603	1.22397	1.71717	2.29131	1.01723
2	73.27648	0.26735	0.57330	0.75872	0.66823	0.39402	0.54046	1.19838
3	3.27991	0.15429	4.74607	2.20062	3.68399	0.31438	0.41279	0.25137
4	9.99307	0.53716	1.77957	1.75272	1.88941	0.50672	0.94131	0.39610
5	0.55104	0.27192	4.68600	2.15590	3.21191	0.72401	0.91165	0.12538
6	2.96823	0.65204	0.94503	2.28397	0.73685	0.51799	1.13946	0.13404
7	0.71174	0.34056	1.50825	2.27506	1.51448	0.95722	3.26055	0.12906
8	0.40414	0.98825	2.65713	2.20844	2.88228	3.29562	13.81055	0.14675
9	0.47452	0.43049	1.39136	1.33059	1.86859	2.08897	2.30958	0.39667
10	0.53500	0.40304	1.46946	1.30360	1.65734	0.88338	1.19207	0.40342
11	0.43469	0.18634	1.20338	1.25020	1.43184	1.28490	2.07016	0.60032
12	1.47442	0.36955	1.34628	1.26734	1.67206	0.85963	1.43635	0.52813
13	0.39994	46.45001	5.76584	1.16472	2.67785	49.12549	18.07661	0.52454
14	0.29825	59.06336	8.17206	1.20849	4.03391	63.00438	23.31136	0.30283
15	0.28381	65.04156	10.13783	2.16326	2.53608	38.46207	26.97185	0.15076
Base	100	0.6832847744	2.4487802305	42.0774209923	0.0009290009	0.0010525920	3.4107529258	36.8568410921
