State (Emission order)	H3K27me3	H3K36me3	H3K9me1	H4K20me1	H3K79me2	H3K4me3	H3K9ac	H3K27ac	H3K4me2	H3K4me1
1	0.004180498317842664	5.488003930784909E-4	0.0011482162024087199	8.474761183293822E-4	1.2472433109499706E-5	1.0362312136126494E-4	1.3050548757452277E-4	0.001076725688556709	2.3350473926068128E-4	2.9128994125769643E-4
2	0.36594729165040374	4.824368192393949E-4	0.0029511337780656456	0.004393441808679247	7.388520207422803E-5	1.828454840512552E-4	3.33538557211857E-4	0.0014120545079151872	0.0016311607973702087	0.0028643467129972964
3	0.10034731697300575	0.0026057261918862014	0.0014445780010708795	0.0015569774871674246	0.0328346827404314	0.4281333685947842	0.09221609342175403	0.016125359601298534	0.557925517579478	0.2406224275523462
4	0.0033031291950572634	2.9093154270542305E-4	1.2921145341385893E-4	1.9282032065458076E-5	0.027966053147786066	0.9738620656219648	0.948912092132859	0.6115270317958207	0.7775517903881993	0.241631026760477
5	0.002001421286611544	0.011426514972803826	4.056502172270028E-5	0.008999240411091201	0.9551669638787055	0.9902552745744118	0.9429848756149695	0.7192010993700483	0.7206336893471186	0.02653105011575067
6	0.006985677893815726	0.10530697140360136	0.02373914247072816	0.08498299907556303	0.9301163917899525	0.7539222244882713	0.6432593404750062	0.6131097544649091	0.9934433323592169	0.9515798337352839
7	9.349886507604765E-5	0.007495278798261553	0.004349585009069927	0.001048387165733495	0.03337541406367273	0.37374441127961033	0.8797157150185195	0.9944727268807313	0.9978809641792726	0.9739015525330603
8	8.898229830912441E-5	0.03414855150697058	0.004205710800008718	6.660096062644959E-4	0.042214174266019734	8.345812256681292E-4	0.26438198425210646	0.9243892622773651	0.41152713721240697	0.9059782218043516
9	0.001407515632323632	0.006046854115565994	0.011331887236636072	0.00611149519528618	0.007790566211327307	0.06876484842375997	0.07503711236383438	0.3570071742756249	0.955416760691646	0.9766967440766344
10	0.0017797895091743593	0.013682053002758342	0.006078678920381882	0.002605480730168575	0.009606518767608896	5.050815583620414E-5	0.008709084960823552	0.0845750636307747	0.06581286648916623	0.6672256131921545
11	9.937777556458877E-5	0.13131186116683163	0.026235752859482424	0.08918339251797712	0.8684048965698722	0.010125983150442878	0.041783955030754494	0.2522809627366952	0.32778036848536346	0.8094351082220056
12	6.192680526281226E-5	0.04838967678779515	0.012938657471054105	0.05846470539994326	0.6608105949964507	1.7594624204204395E-4	9.81638309406566E-4	0.008324612225131643	0.0027101459491956957	0.017256803095502544
13	0.07020894940457471	0.7305613008796781	0.05979373493772151	0.1545530779014856	0.5816699935053611	0.04589286416834184	0.010859971091716821	0.051025853531865284	0.03274588555610308	0.07095094200509837
14	2.120277672883611E-4	0.017613774670580812	0.005012905215358471	0.004564051912925519	0.013471609579362408	1.2105191191204654E-4	5.106971573357737E-4	0.004601469902670131	4.210246820164953E-4	4.0128327135242447E-4
15	6.101644458287548E-4	0.33092435489704886	0.005892937766383722	0.00800208138559415	0.02360158998623395	2.103655527079498E-4	9.714357886221011E-4	0.010398915914366993	3.9776032749741757E-4	0.0039605034509417915
