15	10	E	-6219387.628994513	122
probinit	1	1.3640494181968935E-209
probinit	2	1.0
probinit	3	5.9629575665093765E-264
probinit	4	8.27115597229919E-84
probinit	5	0.0
probinit	6	0.0
probinit	7	0.0
probinit	8	0.0
probinit	9	0.0
probinit	10	0.0
probinit	11	0.0
probinit	12	1.342693431755597E-222
probinit	13	3.339586510143987E-298
probinit	14	0.0
probinit	15	0.0
transitionprobs	1	1	0.9504678486220628
transitionprobs	1	2	0.04299143911373027
transitionprobs	1	3	0.0
transitionprobs	1	4	2.2907162101785201E-4
transitionprobs	1	5	0.0
transitionprobs	1	6	1.48891007734822E-6
transitionprobs	1	7	0.0
transitionprobs	1	8	0.0
transitionprobs	1	9	0.0
transitionprobs	1	10	0.0
transitionprobs	1	11	2.1544282412468983E-5
transitionprobs	1	12	6.661606383578106E-4
transitionprobs	1	13	0.005622446812341428
transitionprobs	1	14	0.0
transitionprobs	1	15	0.0
transitionprobs	2	1	0.0030970071765764945
transitionprobs	2	2	0.993392823526459
transitionprobs	2	3	8.06420047565382E-5
transitionprobs	2	4	6.45667104021651E-5
transitionprobs	2	5	0.0
transitionprobs	2	6	0.0
transitionprobs	2	7	0.0
transitionprobs	2	8	1.015445213791988E-6
transitionprobs	2	9	2.360994084045888E-6
transitionprobs	2	10	4.280430765699601E-5
transitionprobs	2	11	1.3024894906467374E-4
transitionprobs	2	12	0.0025183826341241018
transitionprobs	2	13	6.223103122663603E-4
transitionprobs	2	14	4.78379393957034E-5
transitionprobs	2	15	0.0
transitionprobs	3	1	0.0
transitionprobs	3	2	0.0017869924403485296
transitionprobs	3	3	0.9587006207580137
transitionprobs	3	4	0.019835135926285708
transitionprobs	3	5	0.013662799011839368
transitionprobs	3	6	0.0020029918048647165
transitionprobs	3	7	1.782149291630833E-4
transitionprobs	3	8	1.2296635527073569E-5
transitionprobs	3	9	0.0
transitionprobs	3	10	9.203093468192823E-4
transitionprobs	3	11	0.0
transitionprobs	3	12	0.002892024403370386
transitionprobs	3	13	8.614743768154363E-6
transitionprobs	3	14	0.0
transitionprobs	3	15	0.0
transitionprobs	4	1	1.2783479970163657E-4
transitionprobs	4	2	4.669472725100929E-4
transitionprobs	4	3	0.006521817429352806
transitionprobs	4	4	0.9583554167653973
transitionprobs	4	5	0.0
transitionprobs	4	6	0.005219363609937112
transitionprobs	4	7	7.407521055606424E-5
transitionprobs	4	8	4.2889105620857765E-5
transitionprobs	4	9	2.0708110515355343E-5
transitionprobs	4	10	0.0012488377810942399
transitionprobs	4	11	5.5497828606136254E-5
transitionprobs	4	12	0.025948432320625516
transitionprobs	4	13	0.0016909037957725036
transitionprobs	4	14	2.199691538101383E-4
transitionprobs	4	15	7.306816500234016E-6
transitionprobs	5	1	0.0
transitionprobs	5	2	0.0
transitionprobs	5	3	0.07709335826981789
transitionprobs	5	4	0.0
transitionprobs	5	5	0.8564182590471505
transitionprobs	5	6	0.04324433061194834
transitionprobs	5	7	0.019208327268394568
transitionprobs	5	8	3.9679704177813933E-4
transitionprobs	5	9	0.0
transitionprobs	5	10	0.001391594048226019
transitionprobs	5	11	0.0
transitionprobs	5	12	0.0021430087502194092
transitionprobs	5	13	8.398095458696471E-5
transitionprobs	5	14	0.0
transitionprobs	5	15	2.034400787826759E-5
transitionprobs	6	1	0.0
transitionprobs	6	2	0.0
transitionprobs	6	3	0.002312626999941201
transitionprobs	6	4	0.018088605268844288
transitionprobs	6	5	0.008930984773748351
transitionprobs	6	6	0.9345037952024157
transitionprobs	6	7	0.03285186683457812
transitionprobs	6	8	0.001435546476222859
transitionprobs	6	9	0.0
transitionprobs	6	10	6.91196022240873E-5
transitionprobs	6	11	0.0
transitionprobs	6	12	9.998996415031465E-4
transitionprobs	6	13	3.574680733416182E-4
transitionprobs	6	14	9.483051415402762E-6
transitionprobs	6	15	4.406040757654656E-4
transitionprobs	7	1	0.0
transitionprobs	7	2	0.0
transitionprobs	7	3	8.515147112009622E-4
transitionprobs	7	4	9.970595303698856E-4
transitionprobs	7	5	0.015260202005632563
transitionprobs	7	6	0.13746343220021012
transitionprobs	7	7	0.7445551971350944
transitionprobs	7	8	0.07366474275876571
transitionprobs	7	9	0.0017832293511147754
transitionprobs	7	10	0.01301738475859406
transitionprobs	7	11	0.002711718837419654
transitionprobs	7	12	0.008625741302478604
transitionprobs	7	13	5.891431937306746E-4
transitionprobs	7	14	4.2816047341541655E-5
transitionprobs	7	15	4.378181680470828E-4
transitionprobs	8	1	0.0
transitionprobs	8	2	8.629067305235582E-5
transitionprobs	8	3	1.1847706937596827E-4
transitionprobs	8	4	0.0012550029220642104
